id,name,set_name,card_number,proposed_id,matched_product,matched_console
mtg-unf-388,Carnival Barker (Galaxy Foil),Unfinity,388,5059132,Carnival Barker [Galaxy Foil],Magic Unfinity
mtg-unf-392,Eelectrocute (Galaxy Foil),Unfinity,392,5059136,Eelectrocute [Galaxy Foil],Magic Unfinity
mtg-unf-396,Goblin Cruciverbalist (Galaxy Foil),Unfinity,396,5059140,Goblin Cruciverbalist [Galaxy Foil],Magic Unfinity
mtg-unf-400,Minotaur de Force (Galaxy Foil),Unfinity,400,5059144,Minotaur de Force [Galaxy Foil],Magic Unfinity
mtg-unf-403,One-Clown Band (Galaxy Foil),Unfinity,403,5059147,One-Clown Band [Galaxy Foil] #117,Magic Unfinity
mtg-unf-405,Priority Boarding (Galaxy Foil),Unfinity,405,5059149,Priority Boarding [Galaxy Foil],Magic Unfinity
mtg-unf-411,Trigger Happy (Galaxy Foil),Unfinity,411,5059155,Trigger Happy [Galaxy Foil],Magic Unfinity
mtg-unf-414,Well Done (Galaxy Foil),Unfinity,414,5059158,Well Done [Galaxy Foil],Magic Unfinity
mtg-unf-417,Blorbian Buddy (Galaxy Foil),Unfinity,417,5059161,Blorbian Buddy [Galaxy Foil],Magic Unfinity
mtg-unf-420,Clandestine Chameleon (Galaxy Foil),Unfinity,420,5059164,Clandestine Chameleon [Galaxy Foil],Magic Unfinity
mtg-unf-422,Done for the Day (Galaxy Foil),Unfinity,422,5059166,Done for the Day [Galaxy Foil],Magic Unfinity
mtg-unf-426,Grabby Tabby (Galaxy Foil),Unfinity,426,5059170,Grabby Tabby [Galaxy Foil],Magic Unfinity
mtg-unf-430,"Jermane, Pride of the Circus (Galaxy Foil)",Unfinity,430,5059174,"Jermane, Pride of the Circus [Galaxy Foil]",Magic Unfinity
mtg-unf-435,Pair o' Dice Lost (Galaxy Foil),Unfinity,435,5059179,Pair o' Dice Lost [Galaxy Foil],Magic Unfinity
mtg-unf-436,Petting Zookeeper (Galaxy Foil),Unfinity,436,5059180,Petting Zookeeper [Galaxy Foil],Magic Unfinity
mtg-unf-438,Plot Armor (Galaxy Foil),Unfinity,438,5059182,Plot Armor [Galaxy Foil],Magic Unfinity
mtg-unf-440,Sole Performer (Galaxy Foil),Unfinity,440,5059184,Sole Performer [Galaxy Foil],Magic Unfinity
mtg-unf-444,Tchotchke Elemental (Galaxy Foil),Unfinity,444,5059188,Tchotchke Elemental [Galaxy Foil],Magic Unfinity
mtg-unf-448,Angelic Harold (Galaxy Foil),Unfinity,448,5059192,Angelic Harold [Galaxy Foil],Magic Unfinity
mtg-unf-453,"Dee Kay, Finder of the Lost (Galaxy Foil)",Unfinity,453,5059197,"Dee Kay, Finder of the Lost [Galaxy Foil]",Magic Unfinity
mtg-unf-459,"Monoxa, Midway Manager (Galaxy Foil)",Unfinity,459,5059203,"Monoxa, Midway Manager [Galaxy Foil]",Magic Unfinity
mtg-unf-464,Space Beleren (Galaxy Foil),Unfinity,464,5059208,Space Beleren [Galaxy Foil],Magic Unfinity
mtg-unf-467,"Truss, Chief Engineer (Galaxy Foil)",Unfinity,467,5059211,"Truss, Chief Engineer [Galaxy Foil]",Magic Unfinity
mtg-unf-468,Tusk and Whiskers (Galaxy Foil),Unfinity,468,5059212,Tusk and Whiskers [Galaxy Foil],Magic Unfinity
mtg-unf-472,Clown Car (Galaxy Foil),Unfinity,472,5059216,Clown Car [Galaxy Foil],Magic Unfinity
mtg-unf-477,_______ _______ Rocketship (Galaxy Foil),Unfinity,477,5059221,_____ _____ Rocketship [Galaxy Foil],Magic Unfinity
mtg-unf-482,Wicker Picker (Galaxy Foil),Unfinity,482,5059226,Wicker Picker [Galaxy Foil],Magic Unfinity
mtg-unh-17,"Look at Me, I'm R&D",Unhinged,17,2234624,"Look at Me, I'm RD",Magic Unhinged
mtg-ust-13,Beast Token Foil,Unstable,13,5552920,Beast Token [Foil],Magic Unstable
mtg-ust-41,Novellamental (A),Unstable,41,5552988,Novellamental [A],Magic Unstable
mtg-voc-17 // 4,Blood // Bat Double-Sided Token,Commander: Innistrad: Crimson Vow,17 // 4,5554239,Blood // Bat,Magic Innistrad: Crimson Vow Commander
